City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,nouakchott,18.0858,-15.9785,69.73,82,100,14.63,MR,1681945385
224,totma,59.9747,42.7642,34.52,95,5,3.0,RU,1681945387
225,tamparan,7.8792,124.3331,73.87,89,75,0.67,PH,1681945387
226,saint-francois,46.4154,3.9054,50.95,83,0,2.3,FR,1681945387
227,vilyuysk,63.7553,121.6247,19.45,96,93,3.36,RU,1681945388
228,kawalu,-7.3817,108.2082,72.41,94,73,1.63,ID,1681945388
229,pilar,-9.5972,-35.9567,78.73,91,61,5.7,BR,1681945249
230,siemiatycze,52.4272,22.8623,49.05,74,99,7.54,PL,1681945389
231,souillac,-20.5167,57.5167,79.18,78,75,11.5,MU,1681945389
232,chipata,-13.6333,32.65,61.43,96,41,4.83,ZM,1681945389
233,narsaq,60.9167,-46.05,35.82,93,74,2.28,GL,1681945389
234,jambi,-1.6,103.6167,70.66,99,100,6.93,ID,1681945224
235,dangriga,16.9692,-88.2321,81.36,74,28,11.1,BZ,1681945390
236,chernushka,56.5072,56.0766,38.26,90,83,3.58,RU,1681945241
237,pundaguitan,6.3711,126.1689,82.15,75,26,5.03,PH,1681945391
238,hamilton,39.1834,-84.5333,81.23,34,0,11.5,US,1681945391
239,san patricio,28.017,-97.5169,80.46,71,89,18.75,US,1681945379
240,semey,50.4111,80.2275,25.3,64,0,2.55,KZ,1681945391
241,codrington,-38.2667,141.9667,55.67,78,89,8.52,AU,1681945391
242,portland,45.5234,-122.6762,50.49,81,100,11.99,US,1681945260
243,tasiilaq,65.6145,-37.6368,32.16,98,100,3.22,GL,1681945392
244,chuy,-33.6971,-53.4616,57.97,72,53,10.58,UY,1681945392
245,wamba,8.9333,8.6,76.89,83,93,3.49,NG,1681945392
246,ahipara,-35.1667,173.1667,71.44,76,100,11.63,NZ,1681945392
247,rawson,-43.3002,-65.1023,70.47,47,0,10.87,AR,1681945392
248,imbituba,-28.24,-48.6703,62.85,58,85,11.21,BR,1681945278
249,cayenne,4.9333,-52.3333,75.24,100,100,2.3,GF,1681945393
250,kodinsk,58.6881,99.1844,17.74,93,100,5.73,RU,1681945393
251,chumikan,54.7183,135.315,27.1,70,31,1.86,RU,1681945393
252,caravelas,-17.7125,-39.2481,81.07,85,39,6.98,BR,1681945393
253,norman wells,65.282,-126.8329,26.64,68,20,9.22,CA,1681945394
254,dudinka,69.4058,86.1778,4.62,100,97,6.69,RU,1681945244
255,shemonaikha,50.6328,81.9056,17.64,85,4,2.39,KZ,1681945394
256,stephenville,32.2207,-98.2023,83.19,53,75,17.27,US,1681945395
257,sistranda,63.7256,8.834,37.36,67,30,4.38,NO,1681945395
258,bubaque,11.2833,-15.8333,78.73,71,24,19.28,GW,1681945396
259,chimoio,-19.1164,33.4833,59.41,95,13,1.52,MZ,1681945396
260,katherine,-14.4667,132.2667,77.32,53,75,9.22,AU,1681945396
261,asilah,35.465,-6.0348,66.16,80,73,7.81,MA,1681945397
262,harper,4.375,-7.7169,79.38,86,76,2.06,LR,1681945397
263,kirakira,-10.4544,161.9205,83.88,69,37,4.25,SB,1681945397
264,klyuchi,52.2667,79.1667,19.56,83,7,7.54,RU,1681945397
265,alto araguaia,-17.3147,-53.2153,67.84,97,100,5.37,BR,1681945398
266,saint george,37.1041,-113.5841,65.43,16,0,8.05,US,1681945221
267,terme,41.2092,36.9739,51.73,97,100,1.81,TR,1681945398
268,pierre,44.3683,-100.351,58.86,44,100,4.61,US,1681945398
269,saint anthony,45.0205,-93.218,44.49,88,100,15.32,US,1681945222
270,faanui,-16.4833,-151.75,82.83,78,79,14.7,PF,1681945399
271,jacareacanga,-6.2222,-57.7528,75.45,97,100,2.59,BR,1681945399
272,muros,42.7762,-9.0603,58.08,82,66,5.14,ES,1681945399
273,bardiyah,31.7561,25.0865,59.7,75,0,13.06,LY,1681945399
274,cockburn town,21.4612,-71.1419,78.58,80,0,14.52,TC,1681945399
275,panama city,8.9936,-79.5197,87.75,57,40,11.5,PA,1681945115
276,beyneu,45.3167,55.2,49.12,40,89,13.58,KZ,1681945400
277,kosh-agach,50.0,88.6667,9.18,85,100,5.21,RU,1681945400
